Kehna Hi Kya - Bombay | Singer: [Not mentioned] | Composer/Lyricist: [Not mentioned]
Lukka Chuppi - Rang De Basanti | Singer: [Not mentioned] | Composer/Lyricist: [Not mentioned]
Lag Ja Gale - Woh Jo Hasina | Singer: [Not mentioned] | Composer/Lyricist: [Not mentioned]
O Ashiqaana - 99 Songs | Singer: [Not mentioned] | Composer/Lyricist: [Not mentioned]
Tum Hi Ho - Aashiqui 2 | Singer: Arijit Singh | Composer: Mithoon | Lyricist: Mithoon
Kun Faaya Kun - Rockstar | Singer: A.R. Rahman, Javed Ali, Mohit Chauhan | Composer: A.R. Rahman | Lyricist: Irshad Kamil
Chayya Chayya - Dil Se | Singer: Sukhwinder Singh, Sapna Awasthi | Composer: A.R. Rahman | Lyricist: Gulzar
Masakali - Delhi 6 | Singer: Mohit Chauhan | Composer: A.R. Rahman | Lyricist: Prasoon Joshi
Raabta - Agent Vinod | Singer: Arijit Singh | Composer: Pritam | Lyricist: Amitabh Bhattacharya
Zara Sa - Jannat | Singer: KK | Composer: Pritam | Lyricist: Sayeed Quadri
Main Agar Kahoon - Om Shanti Om | Singer: Sonu Nigam, Shreya Ghoshal | Composer: Vishal-Shekhar | Lyricist: Javed Akhtar
Jashn-e-Bahaara - Jodha Akbar | Singer: Javed Ali | Composer: A.R. Rahman | Lyricist: Javed Akhtar
Do Pal - Veer Zaara | Singer: Sonu Nigam, Lata Mangeshkar | Composer: Madan Mohan | Lyricist: Javed Akhtar
Shukran Allah - Kurbaan | Singer: Sonu Nigam, Shreya Ghoshal | Composer: Sohail Sen | Lyricist: Irshad Kamil
Falak Tak - Tashan | Singer: KK | Composer: Pritam | Lyricist: Sameer
Beedi Jalaile - Omkara | Singer: Sunidhi Chauhan | Composer: Vishal Bhardwaj | Lyricist: Gulzar
Mora Piya - Raajneeti | Singer: Shreya Ghoshal | Composer: Pritam | Lyricist: Prasoon Joshi
Bin Tere - I Hate Luv Storys | Singer: Shreya Ghoshal | Composer: Pritam | Lyricist: Sameer
In Dino - Life In A...Metro | Singer: Shaan | Composer: Pritam | Lyricist: Sayeed Quadri
Iktara - Wake Up Sid | Singer: Amitabh Bhattacharya | Composer: Amit Trivedi | Lyricist: Amitabh Bhattacharya
Jiya Dhadak Dhadak - Kalyug | Singer: Shreya Ghoshal, Udit Narayan | Composer: Mithoon | Lyricist: Sameer
Yeh Kaali Kaali Aankhen - Baazigar | Singer: Kumar Sanu, Anuradha Paudwal | Composer: Dilip Sen-Sameer Sen | Lyricist: Anand Bakshi
O O Jaane Jaana - Pyaar Kiya To Darna Kya | Singer: Udit Narayan | Composer: Raamlaxman | Lyricist: Anand Bakshi
Dariya - Baar Baar Dekho | Singer: Arijit Singh | Composer: Arko Pravo Mukherjee | Lyricist: Irshad Kamil
Uff Teri Ada - Kartik Calling Kartik | Singer: Atif Aslam | Composer: Mithoon | Lyricist: Sayeed Quadri
Agar Tum Mil Jaao - Zeher | Singer: KK | Composer: Pritam | Lyricist: Sameer
Sajda - My Name is Khan | Singer: Shankar Mahadevan, Shreya Ghoshal | Composer: Shankar-Ehsaan-Loy | Lyricist: Niranjan Iyengar
Tere Naina - My Name is Khan | Singer: Shreya Ghoshal | Composer: Shankar-Ehsaan-Loy | Lyricist: Niranjan Iyengar
